MD_EARN_WNE_P10,STUFACR,STUFACR,C150_4,ADM_RATE,MD_EARN_WNE_P10
40283.0,28.0,28.0,0.325,,40283.0
41810.0,20.0,20.0,,,41810.0
48848.0,13.0,13.0,,,48848.0
44114.0,16.0,16.0,,,44114.0
61504.0,18.0,18.0,0.6325,0.7992,61504.0
49414.0,7.0,7.0,0.7216,0.7569,49414.0
,,,,,
128566.0,3.0,3.0,0.9404,0.0269,128566.0
68712.0,14.0,14.0,0.732,0.8718,68712.0
90768.0,20.0,20.0,0.8547,0.3043,90768.0
66666.0,4.0,4.0,,0.0,66666.0
59009.0,19.0,19.0,0.4969,0.8655,59009.0
63188.0,18.0,18.0,0.5526,0.9661,63188.0
59977.0,23.0,23.0,0.5442,0.9108,59977.0
71902.0,25.0,25.0,0.6632,0.5538,71902.0
64172.0,20.0,20.0,0.6418,0.95,64172.0
57162.0,22.0,22.0,0.4646,0.8913,57162.0
61244.0,21.0,21.0,0.5623,0.9543,61244.0
62951.0,24.0,24.0,0.693,0.6672,62951.0
71401.0,22.0,22.0,0.4552,0.962,71401.0
64403.0,22.0,22.0,0.7265,0.3995,64403.0
59211.0,22.0,22.0,0.5143,0.8694,59211.0
59115.0,24.0,24.0,0.5599,0.9123,59115.0
64876.0,24.0,24.0,0.5446,0.9321,64876.0
92446.0,19.0,19.0,0.9403,0.1133,92446.0
80838.0,21.0,21.0,0.8634,0.3734,80838.0
80735.0,18.0,18.0,0.8661,0.2115,80735.0
82511.0,18.0,18.0,0.9248,0.0857,82511.0
67699.0,24.0,24.0,0.7602,0.6869,67699.0
84943.0,19.0,19.0,0.8773,0.2371,84943.0
,,,,,
74915.0,17.0,17.0,0.8567,0.2585,74915.0
68396.0,23.0,23.0,0.7691,0.4692,68396.0
,11.0,11.0,,,
22255.0,14.0,14.0,,,22255.0
,1.0,1.0,0.0,1.0,
,12.0,12.0,,,
19347.0,18.0,18.0,,,19347.0
41198.0,7.0,7.0,0.6382,0.2476,41198.0
94784.0,12.0,12.0,0.6314,0.955,94784.0
,,,,,
50087.0,22.0,22.0,,,50087.0
49022.0,26.0,26.0,,,49022.0
24410.0,20.0,20.0,,,24410.0
49854.0,19.0,19.0,0.4304,0.4,49854.0
32986.0,25.0,25.0,,,32986.0
32986.0,15.0,15.0,,,32986.0
32986.0,13.0,13.0,,,32986.0
32986.0,14.0,14.0,,,32986.0
32986.0,15.0,15.0,,,32986.0
32986.0,26.0,26.0,,,32986.0
41156.0,26.0,26.0,,,41156.0
34963.0,23.0,23.0,,,34963.0
48143.0,21.0,21.0,,,48143.0
42975.0,22.0,22.0,,,42975.0
70070.0,12.0,12.0,0.8363,0.7252,70070.0
83438.0,5.0,5.0,,0.8046,83438.0
65083.0,14.0,14.0,0.6305,0.6899,65083.0
49766.0,11.0,11.0,0.3469,,49766.0
,,,,,
42065.0,23.0,23.0,,,42065.0
,18.0,18.0,,,
45805.0,20.0,20.0,,,45805.0
64372.0,,,,,64372.0
104736.0,8.0,8.0,0.9128,0.1035,104736.0
32493.0,17.0,17.0,,,32493.0
50098.0,17.0,17.0,,,50098.0
44483.0,30.0,30.0,,,44483.0
51017.0,11.0,11.0,0.4381,0.6466,51017.0
21208.0,13.0,13.0,,,21208.0
,,,,,
39035.0,14.0,14.0,,,39035.0
42014.0,15.0,15.0,0.4786,,42014.0
34181.0,14.0,14.0,,,34181.0
40850.0,20.0,20.0,,,40850.0
42446.0,27.0,27.0,,,42446.0
42553.0,17.0,17.0,,,42553.0
46047.0,27.0,27.0,,,46047.0
32435.0,23.0,23.0,,,32435.0
43533.0,22.0,22.0,0.3358,,43533.0
56596.0,27.0,27.0,,,56596.0
19799.0,25.0,25.0,,,19799.0
35296.0,6.0,6.0,,,35296.0
39020.0,26.0,26.0,,,39020.0
46920.0,7.0,7.0,0.75,1.0,46920.0
,,,1.0,0.5455,
51378.0,24.0,24.0,,,51378.0
84713.0,9.0,9.0,0.7893,0.9318,84713.0
,,,,,
42006.0,29.0,29.0,,,42006.0
41589.0,26.0,26.0,,,41589.0
,,,,,
43090.0,,,0.5098,,43090.0
53077.0,25.0,25.0,,,53077.0
49840.0,17.0,17.0,0.75,0.4171,49840.0
38142.0,16.0,16.0,0.4,,38142.0
29856.0,15.0,15.0,,,29856.0
,,,,,
,,,,,
,20.0,20.0,,,
57072.0,25.0,25.0,0.5699,,57072.0
,,,,,
21826.0,24.0,24.0,,,21826.0
37361.0,25.0,25.0,,,37361.0
58896.0,10.0,10.0,0.5024,0.75,58896.0
,,,,,
43366.0,23.0,23.0,,,43366.0
47169.0,21.0,21.0,,,47169.0
42588.0,6.0,6.0,,,42588.0
41540.0,24.0,24.0,,,41540.0
41472.0,14.0,14.0,0.6558,,41472.0
87434.0,13.0,13.0,,,87434.0
43145.0,26.0,26.0,,,43145.0
,,,,,
40309.0,19.0,19.0,,,40309.0
21777.0,15.0,15.0,,,21777.0
44316.0,22.0,22.0,,,44316.0
138687.0,8.0,8.0,0.9202,0.1336,138687.0
25477.0,15.0,15.0,,,25477.0
76410.0,9.0,9.0,0.5368,1.0,76410.0
,,,,,
47626.0,15.0,15.0,0.4555,0.9818,47626.0
39248.0,7.0,7.0,0.75,,39248.0
34487.0,31.0,31.0,,,34487.0
38015.0,34.0,34.0,,,38015.0
54974.0,8.0,8.0,1.0,,54974.0
22101.0,12.0,12.0,,,22101.0
49156.0,28.0,28.0,,,49156.0
30807.0,14.0,14.0,,,30807.0
61954.0,3.0,3.0,0.5,,61954.0
